City,Wealth Index,No of Hospitals,No of Schools,No of Banks,Cell Phone Facility,Water Resources,Agricultural Lands,Unemployed,No of Govt Officials,No of HIV Patients,Educational Levels,Transport Facilities,Highways,Air Port Facilities,Railway Facilities
Mumbai,10,1511,23200,4349,Yes,Sufficient,4672,6880,3897,945,Medium,Poor,10,No,No
Surat,7,505,9622,5712,No,Scarce,9851,4483,2422,417,Medium,Poor,10,No,Yes
Chennai,0,350,25505,1994,Yes,Scarce,2866,8512,1897,393,Medium,Poor,1,Yes,Yes
Jaipur,4,1488,11399,4044,No,Sufficient,6449,3773,4710,587,Low,Moderate,2,Yes,No
Kolkata,10,1685,8819,1259,No,Scarce,9929,3489,2585,994,Medium,Poor,6,No,No
Delhi,5,1874,7146,1933,No,Sufficient,8927,4090,1428,996,Medium,Moderate,10,Yes,Yes
Kolkata,8,487,35926,9672,Yes,Scarce,2297,2502,4820,957,Low,Good,1,No,Yes
Jaipur,7,1268,41408,8479,Yes,Sufficient,2405,4575,2547,404,Medium,Moderate,9,No,No
Bangalore,9,429,16396,3963,Yes,Scarce,7311,1926,3622,210,Medium,Moderate,3,Yes,No
Kolkata,10,1796,26316,5210,No,Sufficient,2914,8049,2270,258,Low,Good,6,Yes,No
Chennai,0,1856,38412,1589,Yes,Sufficient,4603,4777,4376,454,High,Moderate,2,Yes,No
Ahmedabad,2,1574,47370,5140,Yes,Sufficient,9588,4663,4450,652,Medium,Poor,7,No,No
Pune,0,1025,7850,7888,No,Scarce,8377,3048,2306,590,Low,Moderate,2,No,Yes
Ahmedabad,2,709,47889,4126,Yes,Scarce,4662,3907,3519,161,High,Poor,9,No,Yes
Surat,9,1950,19428,9413,No,Scarce,7521,9994,4657,202,High,Poor,3,Yes,No
Kolkata,0,1201,20824,8944,Yes,Scarce,9671,6563,2148,639,Medium,Poor,3,Yes,Yes
Delhi,2,1588,24427,9941,No,Scarce,1784,4809,3610,138,Medium,Moderate,1,Yes,Yes
Kolkata,3,1928,23109,6950,No,Sufficient,9226,7961,1653,417,Medium,Good,10,No,No
Surat,7,1020,8431,3807,Yes,Scarce,3878,8693,2041,323,Medium,Good,9,Yes,Yes
Delhi,0,471,46049,6513,No,Sufficient,1498,6749,2172,104,High,Good,9,Yes,Yes
Hyderabad,1,1883,15913,6579,No,Sufficient,9072,4176,4632,849,Low,Good,2,No,No
Kolkata,0,1364,44043,1510,Yes,Sufficient,9887,7782,2748,404,Low,Moderate,5,No,Yes
Hyderabad,6,249,12942,4973,Yes,Scarce,3571,8029,3274,460,High,Good,1,No,Yes
Jaipur,6,571,24801,5120,No,Scarce,5982,5887,2856,546,High,Good,2,No,Yes
Hyderabad,7,1034,36997,3250,Yes,Sufficient,2094,1282,1030,530,Medium,Good,4,No,No
Ahmedabad,2,1443,5694,6050,Yes,Scarce,1979,4099,2715,556,Low,Poor,8,No,No
Hyderabad,3,273,31701,2463,Yes,Scarce,1506,1379,1668,848,High,Poor,9,No,No
Surat,4,1110,37401,6663,Yes,Scarce,8707,5104,2253,759,Medium,Poor,4,Yes,No
Pune,7,261,49947,4001,No,Sufficient,8437,4515,1620,195,Medium,Moderate,1,No,Yes
Chennai,8,842,39348,7712,Yes,Scarce,3332,5384,2181,433,High,Good,7,No,No
Ahmedabad,1,461,26552,7067,No,Sufficient,3955,2785,2331,362,Low,Good,2,No,Yes
Hyderabad,0,1736,46718,6940,No,Scarce,3605,2419,4200,659,High,Moderate,6,Yes,No
Kolkata,7,387,11920,3829,No,Scarce,4640,5758,3552,384,Medium,Good,2,No,No
Surat,1,104,2912,3818,No,Sufficient,9044,7780,4661,118,Low,Moderate,1,No,Yes
Ahmedabad,5,128,24314,5081,No,Sufficient,9429,2071,3717,692,High,Moderate,10,Yes,No
Chennai,0,652,33939,9558,No,Scarce,9960,3964,4092,604,Low,Poor,7,Yes,No
Surat,0,290,26127,3784,Yes,Sufficient,1858,8630,2382,284,Medium,Moderate,4,No,Yes
Bangalore,0,537,17255,5734,Yes,Sufficient,3005,6852,2599,724,High,Good,7,No,No
Hyderabad,4,1908,39772,5795,No,Sufficient,5281,3852,4149,153,High,Moderate,5,No,No
Surat,3,1000,49160,5988,Yes,Sufficient,4777,1989,2796,769,Low,Poor,1,No,Yes
Ahmedabad,1,175,14673,8665,No,Sufficient,3183,6433,1679,715,High,Moderate,6,No,Yes
Hyderabad,4,260,13278,5579,Yes,Sufficient,8337,5498,1148,909,Medium,Good,6,Yes,Yes
Pune,2,1532,33743,4432,Yes,Scarce,5546,4241,4180,210,Low,Good,6,No,Yes
Hyderabad,2,144,7855,1882,Yes,Sufficient,1047,3109,4034,561,High,Moderate,9,Yes,Yes
Kolkata,9,1003,32251,2707,Yes,Scarce,4944,6019,506,897,Low,Moderate,10,Yes,Yes
Pune,1,1571,24239,4838,No,Sufficient,2182,3703,755,509,High,Moderate,3,No,Yes
Mumbai,0,886,40552,8905,No,Scarce,9706,7821,4197,392,Low,Moderate,3,No,Yes
Chennai,5,280,25642,8853,No,Scarce,5325,5957,4549,315,Low,Good,1,Yes,Yes
Surat,10,320,38542,2866,Yes,Scarce,1660,9384,3017,109,High,Poor,10,No,Yes
Pune,10,995,12146,1322,Yes,Sufficient,9786,4916,4348,181,High,Good,9,No,No
Ahmedabad,8,724,25324,6903,Yes,Scarce,6949,5149,4033,456,High,Moderate,1,No,No
Delhi,5,1242,33267,5875,Yes,Scarce,1310,3946,1016,299,High,Poor,5,Yes,Yes
Hyderabad,2,437,27559,9959,Yes,Sufficient,3570,7346,2701,574,Low,Moderate,7,Yes,Yes
Kolkata,5,175,36115,1761,Yes,Scarce,4262,7424,3728,865,Medium,Poor,2,No,No
Hyderabad,6,1822,17710,4893,Yes,Sufficient,1769,6241,1804,336,Low,Good,1,Yes,No
Ahmedabad,0,565,45331,9292,No,Sufficient,6911,2791,3908,654,High,Good,9,No,No
Pune,10,407,24949,1517,No,Sufficient,6180,6437,3799,873,Medium,Moderate,5,No,No
Bangalore,10,1253,21881,7931,No,Sufficient,2163,2532,3233,638,Medium,Poor,8,No,No
Mumbai,2,1519,40733,2605,No,Scarce,7399,6372,4384,980,Medium,Poor,6,No,No
Delhi,1,930,20683,6047,Yes,Sufficient,2648,1864,1210,550,Medium,Moderate,6,Yes,Yes
Surat,7,793,24934,4913,Yes,Sufficient,2935,3940,3753,652,Low,Moderate,6,No,No
Pune,4,1858,18707,4375,No,Scarce,1688,5245,2264,847,Medium,Moderate,7,Yes,No
Surat,3,560,33859,3242,No,Scarce,8851,9780,4265,475,Medium,Good,9,Yes,No
Delhi,9,1613,49974,3884,Yes,Scarce,1385,9489,4960,650,Medium,Moderate,10,Yes,Yes
Mumbai,0,1344,35218,1915,Yes,Sufficient,8008,4302,2770,197,Low,Poor,1,No,Yes
Mumbai,7,1332,2464,5693,No,Sufficient,1903,6560,613,221,Low,Good,7,No,Yes
Chennai,5,1741,36673,1665,Yes,Scarce,8655,2996,3095,311,Medium,Poor,4,Yes,No
Jaipur,0,203,18961,4583,No,Sufficient,4633,7971,3298,865,Low,Moderate,2,Yes,No
Delhi,6,292,39230,2166,Yes,Sufficient,3844,8818,4860,937,High,Good,10,Yes,Yes
Jaipur,9,916,3762,8003,No,Sufficient,6134,4568,873,549,Medium,Poor,7,No,No
Delhi,1,1796,8982,9455,Yes,Sufficient,2984,5665,3443,346,Medium,Moderate,7,No,Yes
Hyderabad,8,190,25331,3185,Yes,Scarce,2753,8792,3766,558,Medium,Moderate,10,Yes,No
Delhi,7,338,22715,7618,No,Sufficient,4024,4103,3313,521,Low,Moderate,10,No,Yes
Bangalore,5,1870,46627,8705,Yes,Sufficient,8184,1089,4592,276,Low,Good,3,No,No
Pune,6,1677,39019,2645,No,Sufficient,4532,8210,1063,237,High,Good,1,No,Yes
Mumbai,5,1749,26505,2417,Yes,Scarce,1434,1079,4254,592,Low,Moderate,3,Yes,Yes
Hyderabad,3,1471,21849,1881,No,Scarce,5605,2172,667,804,High,Poor,2,Yes,No
Surat,1,1568,20558,5720,Yes,Scarce,2781,3289,1874,194,Medium,Poor,3,Yes,No
Mumbai,9,472,2820,9823,Yes,Scarce,1551,8392,1793,592,Low,Poor,4,Yes,Yes
Chennai,7,291,34204,7420,Yes,Sufficient,7474,1764,3480,838,High,Poor,7,No,Yes
Bangalore,6,892,39560,3184,Yes,Sufficient,3593,3466,1386,304,Low,Moderate,4,Yes,No
Jaipur,10,330,35202,6968,Yes,Scarce,4872,9459,1691,176,High,Moderate,9,No,No
Ahmedabad,5,301,31160,3580,Yes,Sufficient,4500,5867,4434,192,Low,Moderate,7,No,Yes
Delhi,8,734,46456,4689,No,Scarce,9048,9460,4508,357,Medium,Poor,9,No,No
Delhi,3,350,46220,9270,No,Sufficient,5326,3266,3219,786,Medium,Moderate,8,No,No
Delhi,4,1110,29175,3178,No,Sufficient,1632,6066,4180,548,High,Good,10,No,No
Bangalore,4,1609,29399,3789,No,Sufficient,5489,3502,1910,729,Medium,Moderate,8,No,No
Jaipur,7,1293,18742,9166,No,Sufficient,1011,2232,1743,655,High,Poor,1,No,No
Bangalore,7,636,7349,2598,Yes,Scarce,4951,6266,1749,871,Medium,Poor,4,Yes,Yes
Ahmedabad,3,1767,3610,5866,No,Scarce,1725,8982,3700,331,High,Poor,9,No,No
Mumbai,10,620,43853,6251,Yes,Sufficient,3436,5409,2421,305,High,Good,8,No,Yes
Jaipur,1,455,27429,1215,Yes,Sufficient,4876,7717,632,173,Low,Moderate,4,No,Yes
Hyderabad,1,668,13885,3449,No,Sufficient,2307,4729,2262,644,High,Poor,3,No,No
Chennai,1,1496,35663,5368,No,Sufficient,6625,3221,4025,774,Medium,Good,1,No,Yes
Surat,9,291,17398,1029,No,Scarce,2892,3155,4941,533,High,Poor,8,No,No
Bangalore,4,1545,32772,7768,No,Sufficient,5543,1776,800,698,Medium,Poor,6,No,No
Mumbai,4,1166,22008,3268,Yes,Scarce,1365,7797,3009,586,Medium,Good,8,Yes,Yes
Hyderabad,3,801,2545,9695,Yes,Sufficient,5451,5771,2290,497,Low,Good,5,No,Yes
Ahmedabad,10,1034,43765,4063,Yes,Scarce,7368,9652,4184,635,Low,Poor,8,No,No
Surat,4,1910,48439,4428,No,Scarce,5772,3933,1649,770,Medium,Poor,7,Yes,Yes
Ahmedabad,8,1325,2506,1403,Yes,Sufficient,9929,6110,3993,719,Low,Poor,10,No,No
Bangalore,4,1450,28934,7818,Yes,Scarce,9964,1658,1528,225,Medium,Moderate,1,No,Yes
Ahmedabad,1,305,39722,4601,Yes,Scarce,8966,5480,3317,275,Medium,Moderate,9,Yes,No
Jaipur,0,1998,30388,3127,No,Scarce,8453,4602,969,539,Low,Poor,3,No,No
Jaipur,7,1248,12983,9350,Yes,Scarce,1602,2675,2879,925,Low,Moderate,4,Yes,No
Mumbai,0,231,46181,1358,Yes,Sufficient,6436,9412,4033,933,High,Good,4,No,No
Jaipur,0,711,14603,5271,Yes,Scarce,4130,1272,2237,916,High,Poor,5,No,Yes
Ahmedabad,9,450,37210,2478,Yes,Scarce,3972,8828,2430,855,Low,Moderate,5,No,Yes
Kolkata,7,1024,21985,9846,Yes,Scarce,4615,9353,3159,841,Medium,Good,7,No,Yes
Chennai,2,219,20277,2611,No,Scarce,5527,3132,1146,118,Low,Moderate,10,Yes,No
Hyderabad,8,1670,41283,7513,No,Scarce,7823,5699,2315,814,High,Moderate,1,No,Yes
Surat,5,1699,33776,6963,No,Scarce,7054,4565,4860,414,Low,Moderate,1,No,No
Bangalore,10,387,9225,3638,Yes,Sufficient,7652,5304,2443,769,Medium,Good,8,No,Yes
Jaipur,4,979,8644,9771,No,Scarce,2806,1243,4983,377,High,Poor,3,No,No
Surat,1,567,7682,8242,No,Scarce,7203,6914,4710,957,High,Good,3,No,No
Pune,2,657,40163,1336,Yes,Scarce,4214,6032,2919,140,Low,Good,7,No,Yes
Kolkata,0,1492,42263,2804,No,Scarce,4713,1748,3959,213,High,Moderate,8,Yes,No
Pune,4,745,46410,8707,No,Sufficient,3537,8091,1487,506,Low,Good,4,No,No
Kolkata,3,1402,28836,5074,Yes,Sufficient,9028,6443,3681,340,High,Good,7,Yes,Yes
Surat,9,1451,31729,3335,No,Sufficient,9649,9762,1152,487,Low,Moderate,3,Yes,No
Delhi,7,778,28833,3331,No,Sufficient,4116,1176,3876,194,Low,Good,10,No,No
Jaipur,2,1690,24748,2103,No,Sufficient,4616,9505,1382,362,Medium,Good,9,Yes,No
Chennai,8,1300,36754,2767,Yes,Sufficient,8207,1541,4012,731,Medium,Good,3,Yes,No
Mumbai,2,1539,5244,8447,No,Scarce,9506,1697,3654,641,Medium,Good,6,Yes,No
Hyderabad,9,1245,35247,2794,No,Scarce,4959,3960,3784,671,Low,Moderate,4,Yes,No
Hyderabad,6,835,43690,3665,No,Scarce,8510,1362,3849,371,High,Moderate,2,No,No
Delhi,0,332,36895,2616,No,Sufficient,3564,4144,1920,342,Medium,Moderate,2,Yes,Yes
Ahmedabad,5,545,47372,6313,Yes,Scarce,3977,7863,801,225,High,Moderate,2,Yes,No
Surat,2,414,38995,8216,Yes,Sufficient,4224,1346,4827,804,Medium,Good,1,Yes,Yes
Mumbai,9,434,24362,6812,No,Sufficient,4196,6864,3809,973,Medium,Moderate,1,Yes,No
Bangalore,9,680,10667,6258,Yes,Scarce,2214,9968,894,374,High,Moderate,9,Yes,No
Hyderabad,0,1766,28249,4503,No,Scarce,7450,1038,1314,113,High,Good,4,No,No
Mumbai,5,1680,2872,3363,No,Sufficient,4092,8642,3097,148,Low,Moderate,4,Yes,No
Surat,7,1148,22049,1710,No,Scarce,6394,5730,1555,998,High,Poor,7,Yes,Yes
Jaipur,1,1761,40836,9424,No,Sufficient,1657,9712,531,755,High,Poor,1,Yes,Yes
Jaipur,4,340,49272,1317,Yes,Scarce,8541,9983,2927,691,Low,Poor,5,Yes,Yes
Ahmedabad,4,1648,48004,1725,No,Sufficient,6494,7990,4183,262,Low,Moderate,3,No,Yes
Pune,8,802,13071,9935,Yes,Scarce,6703,2313,3379,803,Medium,Good,5,No,Yes
Chennai,0,491,4239,1658,Yes,Scarce,7286,2524,3926,959,High,Poor,1,Yes,Yes
Chennai,5,1985,7543,3274,No,Sufficient,4109,9726,3111,968,Medium,Moderate,1,Yes,No
Delhi,7,1200,22473,2536,Yes,Sufficient,3877,4888,3138,520,Low,Poor,9,No,Yes
Kolkata,10,655,17984,3316,Yes,Sufficient,3759,6839,1250,873,Low,Moderate,10,Yes,Yes
Kolkata,1,261,24767,9889,No,Sufficient,8117,5302,1314,852,Medium,Poor,6,Yes,No
Hyderabad,0,1984,38822,4996,No,Scarce,3557,3237,1094,172,Low,Poor,3,No,Yes
Bangalore,8,1669,24155,3535,No,Sufficient,9986,3333,2497,901,High,Poor,1,Yes,Yes
Kolkata,2,1428,8499,5046,No,Sufficient,1777,6809,3291,833,Medium,Moderate,9,Yes,Yes
Surat,5,838,41487,1872,Yes,Scarce,4826,9956,1318,378,Low,Moderate,1,No,No
Kolkata,2,1818,38732,9918,Yes,Scarce,5770,9563,2789,415,Medium,Good,10,No,No
Hyderabad,9,1115,8117,8166,No,Sufficient,2648,2178,4389,908,Medium,Moderate,7,Yes,No
Jaipur,4,697,21944,2926,No,Scarce,1534,3145,3095,275,Low,Poor,8,No,No
Kolkata,5,1698,15004,4255,No,Scarce,6967,5791,2671,241,Medium,Moderate,3,Yes,Yes
Delhi,8,225,45191,7395,Yes,Sufficient,9504,9795,3238,406,Medium,Moderate,1,No,Yes
Bangalore,4,1687,34703,8143,Yes,Sufficient,7304,8111,4619,357,Low,Good,3,No,No
Chennai,2,641,4416,2119,Yes,Scarce,7098,2069,3569,329,High,Good,9,No,Yes
Delhi,9,1792,18251,3608,No,Scarce,3633,7640,1356,769,Low,Good,10,Yes,Yes
Mumbai,4,384,48503,2465,No,Sufficient,5981,9917,1628,211,High,Poor,6,No,Yes
Pune,9,839,11232,3374,Yes,Scarce,3938,2846,973,779,Medium,Good,1,No,No
Chennai,8,1890,30020,2143,No,Sufficient,2246,4959,3750,140,High,Good,2,Yes,Yes
Kolkata,6,1953,25096,1560,No,Sufficient,1138,1521,819,918,Low,Poor,2,Yes,No
Mumbai,4,1821,27494,1151,No,Sufficient,1531,3899,844,127,High,Good,6,Yes,Yes
Bangalore,9,714,47872,2558,No,Scarce,8221,2551,3544,720,Low,Poor,10,Yes,No
Chennai,8,599,16366,4204,Yes,Sufficient,5021,6042,2912,537,Medium,Good,7,No,No
Chennai,4,700,30126,6092,Yes,Sufficient,8755,7228,1795,964,Low,Good,1,Yes,Yes
Mumbai,8,1015,19523,9918,Yes,Scarce,3101,6996,2842,142,Low,Good,6,No,No
Pune,4,1962,45607,3524,No,Scarce,5689,5642,3259,541,Medium,Moderate,6,Yes,No
Delhi,10,120,25014,7609,No,Sufficient,6408,5443,2833,964,Medium,Poor,8,Yes,No
Chennai,8,693,11516,5740,No,Scarce,1652,1588,1395,585,High,Poor,1,No,No
Mumbai,7,1904,21688,6240,Yes,Sufficient,8355,8294,3685,239,High,Good,10,Yes,No
Bangalore,10,384,46703,8925,Yes,Scarce,9598,7423,4975,955,Low,Good,7,No,No
Hyderabad,5,1863,26065,2956,No,Scarce,1146,5596,928,439,Low,Good,10,Yes,No
Jaipur,5,1524,4719,9397,Yes,Sufficient,2224,7463,1745,174,Medium,Moderate,10,Yes,No
Delhi,9,1515,36460,8026,No,Sufficient,8038,1533,1111,836,Medium,Moderate,2,Yes,Yes
Surat,10,1699,47120,9868,Yes,Sufficient,4711,2534,887,428,High,Moderate,7,Yes,No
Ahmedabad,7,1770,34803,9277,Yes,Sufficient,3632,7622,541,966,Low,Moderate,4,No,No
Pune,9,1514,37332,3650,Yes,Scarce,8724,1287,4135,319,Medium,Poor,2,Yes,No
Ahmedabad,3,1669,43504,3254,No,Scarce,2582,4139,1539,884,Low,Good,3,Yes,Yes
Surat,2,1858,2798,6977,No,Scarce,6680,8541,4157,545,Low,Moderate,4,Yes,Yes
Pune,1,1100,9442,9438,Yes,Sufficient,6780,7760,602,217,Medium,Moderate,7,No,Yes
Kolkata,5,1687,9494,3962,No,Scarce,6552,5813,2010,734,Low,Moderate,9,Yes,Yes
Jaipur,10,2000,12073,7910,Yes,Sufficient,6244,7222,2014,562,High,Good,5,Yes,No
Bangalore,7,1308,40154,7458,Yes,Scarce,1371,5785,1526,384,High,Good,7,Yes,No
Jaipur,6,219,14042,3898,Yes,Sufficient,5263,4849,4042,582,Medium,Poor,8,Yes,No
Bangalore,7,1938,1230,5583,Yes,Sufficient,2976,7488,2385,457,Medium,Moderate,8,No,Yes
Bangalore,2,739,8118,4937,No,Scarce,3731,2461,4889,727,Medium,Poor,3,Yes,Yes
Mumbai,7,774,35631,7392,Yes,Sufficient,9615,7633,2853,838,Low,Poor,5,Yes,No
Bangalore,5,783,39816,9092,No,Sufficient,9815,4071,2350,118,Medium,Moderate,2,No,Yes
Jaipur,2,500,31603,5160,Yes,Sufficient,1120,3345,4082,303,High,Good,7,No,No
Mumbai,8,209,47078,8594,Yes,Scarce,6305,3696,1454,366,High,Moderate,1,No,No
Delhi,10,1003,43961,8724,Yes,Sufficient,7489,8788,4886,661,Medium,Good,2,Yes,Yes
Hyderabad,10,1469,11005,7455,No,Sufficient,5777,4088,3962,824,High,Poor,7,No,No
Bangalore,6,1623,25000,3883,No,Sufficient,7274,4994,2441,105,Medium,Moderate,8,Yes,No
Surat,7,1865,26044,7964,No,Sufficient,9108,8155,4373,751,Low,Poor,6,Yes,No
Chennai,10,1775,42900,1894,Yes,Scarce,4248,9152,810,821,High,Good,8,Yes,Yes
Hyderabad,8,1405,4697,5630,No,Scarce,9415,5845,2946,257,Low,Good,7,Yes,Yes
Mumbai,2,1763,7553,1256,Yes,Scarce,2748,2852,2852,224,High,Good,7,Yes,No
Kolkata,9,1153,6114,4673,Yes,Sufficient,3618,9116,3215,715,Low,Good,4,No,No
Chennai,4,892,24141,6954,Yes,Sufficient,8522,4935,4454,538,Medium,Good,10,Yes,No
Bangalore,9,668,49205,5279,Yes,Scarce,6874,2012,2973,329,High,Moderate,6,No,Yes
Mumbai,6,545,25683,4328,Yes,Scarce,9139,4526,4162,817,Medium,Moderate,10,No,Yes
Surat,2,121,32926,2751,No,Sufficient,3070,1383,4254,203,Medium,Good,5,No,No
Hyderabad,8,346,37388,6943,Yes,Scarce,9693,5791,2416,573,High,Moderate,8,No,Yes
Surat,8,560,24865,2621,No,Scarce,4665,7678,4887,444,High,Poor,7,No,No
Pune,6,1608,27401,3902,Yes,Sufficient,6716,1271,4677,219,Medium,Moderate,9,Yes,No
Chennai,10,920,5906,9969,No,Scarce,7016,3496,4882,188,Low,Good,8,Yes,No
Jaipur,8,1472,26249,3642,No,Scarce,7381,7506,2230,573,High,Poor,9,Yes,Yes
Kolkata,5,149,33206,2376,Yes,Scarce,2796,7180,4469,583,Medium,Good,10,Yes,Yes
Delhi,4,508,34317,8255,No,Sufficient,9086,7089,1694,441,Medium,Good,2,Yes,No
Hyderabad,1,1872,49673,7303,No,Sufficient,9572,4118,4372,735,Low,Poor,5,Yes,No
Delhi,7,1902,44757,1430,Yes,Sufficient,2495,9054,1654,526,Medium,Moderate,6,Yes,No
Bangalore,9,279,7428,9079,No,Scarce,1246,4261,2934,860,Low,Poor,10,No,No
Hyderabad,2,202,48330,4493,No,Sufficient,3409,1872,1625,541,Medium,Good,7,Yes,Yes
Bangalore,9,455,41466,2135,Yes,Scarce,3944,3489,4782,245,Medium,Moderate,3,Yes,No
Surat,6,1053,34249,5326,No,Sufficient,1795,8485,2756,351,Medium,Poor,1,Yes,Yes
Chennai,1,334,31516,4115,Yes,Scarce,7203,6467,1832,727,Medium,Good,2,No,Yes
Hyderabad,4,975,46010,7328,No,Scarce,8447,5423,1244,353,High,Good,1,No,No
Hyderabad,2,804,4061,6112,Yes,Sufficient,5052,7058,709,132,Medium,Moderate,10,Yes,Yes
Pune,6,1372,34678,7974,No,Scarce,8036,3207,3005,546,High,Good,8,No,No
Hyderabad,1,1727,26649,5122,No,Sufficient,7475,9845,3455,277,Medium,Poor,6,Yes,Yes
Pune,9,1485,2237,5038,Yes,Scarce,2905,9468,1418,800,High,Poor,2,Yes,No
Mumbai,8,542,11134,3060,No,Sufficient,5513,5095,4337,411,Medium,Moderate,3,No,No
Bangalore,9,821,25794,6180,Yes,Scarce,5149,4601,3774,270,Low,Poor,8,Yes,Yes
Jaipur,7,350,37650,3021,Yes,Sufficient,4463,2971,4812,420,Medium,Good,8,No,Yes
Delhi,4,783,39981,6472,Yes,Sufficient,3173,5423,3891,197,Low,Poor,8,Yes,Yes
Delhi,4,287,36523,9126,Yes,Sufficient,5491,9562,2424,598,Medium,Poor,2,Yes,Yes
Mumbai,2,1563,11217,5457,Yes,Scarce,5073,9403,2573,735,Medium,Poor,6,No,No
Surat,3,244,2755,8316,Yes,Sufficient,1668,4668,2107,551,High,Poor,2,No,Yes
Ahmedabad,6,1651,35205,2505,Yes,Sufficient,9643,9571,2517,171,High,Good,5,No,No
Bangalore,4,689,22764,3215,No,Sufficient,1530,6797,2911,599,Medium,Good,8,No,No
Jaipur,2,668,38895,8747,Yes,Scarce,2084,8962,3388,511,High,Poor,2,Yes,No
Chennai,9,1285,9600,2494,Yes,Sufficient,4080,1822,3537,819,Low,Moderate,8,Yes,No
Hyderabad,6,767,6687,3148,No,Sufficient,9547,6882,4524,469,High,Good,8,No,Yes
Jaipur,9,1654,20841,7036,Yes,Scarce,6849,2188,2008,973,High,Moderate,8,No,Yes
Surat,1,1922,30748,1777,No,Sufficient,8115,4148,3932,174,Medium,Moderate,3,No,No
Bangalore,4,789,15336,8417,Yes,Scarce,2609,2708,3140,971,High,Poor,9,Yes,Yes
Kolkata,3,1598,22052,7374,Yes,Sufficient,3386,3107,3784,801,Low,Poor,9,Yes,No
Kolkata,1,1082,18101,6254,Yes,Sufficient,2551,9739,3370,560,Medium,Good,9,Yes,Yes
Ahmedabad,0,1388,2212,6587,Yes,Scarce,2750,6482,4747,375,High,Poor,7,No,Yes
Bangalore,5,716,12343,6418,Yes,Sufficient,7135,5062,756,771,Low,Good,6,Yes,Yes
Surat,7,1569,13480,9049,No,Scarce,6841,2383,4814,712,High,Moderate,4,Yes,Yes
Mumbai,2,1939,25146,9104,Yes,Sufficient,7851,9968,1924,541,High,Moderate,7,No,Yes
Mumbai,9,1869,23977,1219,Yes,Scarce,2041,1611,4144,939,Medium,Moderate,7,No,Yes
Mumbai,9,626,44271,2673,Yes,Scarce,5085,8455,4841,710,High,Good,7,No,Yes
Pune,7,1963,39825,5596,Yes,Sufficient,7671,9712,2227,454,High,Poor,5,No,Yes
Pune,3,1384,30560,2915,Yes,Sufficient,6704,7068,3877,114,Medium,Poor,4,No,No
Bangalore,7,1789,15395,3702,Yes,Scarce,2907,5380,4297,276,High,Moderate,1,No,No
Delhi,7,1024,2239,6738,No,Scarce,6205,6113,2632,840,High,Moderate,7,Yes,No
Bangalore,0,1027,20886,9038,No,Sufficient,3067,3075,3654,430,Low,Moderate,5,No,Yes
